Postal_Code,Location_ID
201301,L001
203155,L001
600020,L002
600018,L002
122107,L003
560034,L004
560002,L004
560063,L004
560030,L004
500004,L005
500045,L005
700027,L006
700005,L006
682001,L007
686692,L007
411002,L008
411006,L008
400001,L009
400053,L009
410206,L009
382460,L010
382220,L010
